2019-11-12,55888
2019-11-13,55911
2019-11-14,55915
2019-11-15,55882
2019-11-16,55894
2019-11-17,55844
2019-11-18,55890
2019-11-19,55921
2019-11-20,55909
2019-11-21,55897
2019-11-22,55885
2019-11-23,55896
2019-11-24,55863
2019-11-25,55909
2019-11-26,55935
2019-11-27,55937
2019-11-28,55902
2019-11-29,55862
2019-11-30,55845
2019-12-01,55953
2019-12-02,56012
2019-12-03,56026
2019-12-04,56022
2019-12-05,56035
2019-12-06,56016
2019-12-07,56014
2019-12-08,55960
2019-12-09,55981
2019-12-10,55986
2019-12-11,55978
2019-12-12,55984
2019-12-13,55984
2019-12-14,55985
2019-12-15,55938
2019-12-16,55990
2019-12-17,56005
2019-12-18,55996
2019-12-19,55999
2019-12-20,56080
2019-12-21,56073
2019-12-22,56058
2019-12-23,56122
2019-12-24,56147
2019-12-25,56168
2019-12-26,56161
2019-12-27,56219
2019-12-28,56190
2019-12-29,56207
2019-12-30,56307
2019-12-31,56415
2020-01-01,55893
2020-01-02,55729
2020-01-03,55702
2020-01-04,55743
2020-01-05,55737
2020-01-06,55694
2020-01-07,55709
2020-01-08,55690
2020-01-09,55666
2020-01-10,55654
2020-01-11,55651
2020-01-12,55645
2020-01-13,55638
2020-01-14,55629
2020-01-15,55620
2020-01-16,55626
2020-01-17,55613
2020-01-18,55604
2020-01-19,55597
2020-01-20,55587
2020-01-21,55589
2020-01-22,55570
2020-01-23,55568
2020-01-24,55534
2020-01-25,55535
2020-01-26,55534
2020-01-27,55528
2020-01-28,55535
2020-01-29,55531
2020-01-30,55538
2020-01-31,55528
2020-02-01,55414
2020-02-02,55428
2020-02-03,55428
2020-02-04,55177
2020-02-05,891
